id,year,title,authors,venue,category,publication_type,doi,arxiv_id,url,open_pdf_url,citation_count,source,source_query,status,notes,abbreviation,paper_label,paper_url,code_weights_label,code_weights_url,awesome_section
cand0099,2026,"MAESTRO: Masked AutoEncoders for Multimodal, Multitemporal, and Multispectral Earth Observation Data",Antoine Labatie; Michael Vaccaro; Nina Lardiere; Anatol Garioud; Nicolas Gonthier,WACV2026,remote_sensing_pretraining,article,10.1109/wacv61042.2026.00029,,https://openalex.org/W7160301103; https://openaccess.thecvf.com/content/WACV2026/papers/Labatie_MAESTRO_Masked_AutoEncoders_for_Multimodal_Multitemporal_and_Multispectral_Earth_Observation_WACV_2026_paper.pdf,https://openaccess.thecvf.com/content/WACV2026/papers/Labatie_MAESTRO_Masked_AutoEncoders_for_Multimodal_Multitemporal_and_Multispectral_Earth_Observation_WACV_2026_paper.pdf,0,OpenAlex,"""masked autoencoder"" ""remote sensing""",candidate_model,metadata candidate; screen before citing,MAESTRO,MAESTRO,https://openaccess.thecvf.com/content/WACV2026/papers/Labatie_MAESTRO_Masked_AutoEncoders_for_Multimodal_Multitemporal_and_Multispectral_Earth_Observation_WACV_2026_paper.pdf,link,https://github.com/IGNF/MAESTRO,Remote Sensing Vision Foundation Models
cand0100,2025,A semantic-enhanced multi-modal remote sensing foundation model for Earth observation,Kang Wu; Yingying Zhang; Lixiang Ru; Bo Dang; Jiangwei Lao; Lei Yu; Junwei Luo; Zifan Zhu,Nature Machine Intelligence; Nature Machine Intelligence 2025,foundation_models,article,10.1038/s42256-025-01078-8,,https://openalex.org/W4412929262; https://www.nature.com/articles/s42256-025-01078-8,,41,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,SkySense++,SkySense++,https://www.nature.com/articles/s42256-025-01078-8,link,https://github.com/kang-wu/SkySensePlusPlus?tab=readme-ov-file,Remote Sensing Vision Foundation Models
cand0102,2025,"SatCLIP: Global, General-Purpose Location Embeddings with Satellite Imagery",Konstantin Klemmer; Esther Rolf; Caleb Robinson; Lester Mackey; Marc Rußwurm,Proceedings of the AAAI Conference on Artificial Intelligence; AAAI2025,foundation_models,article,10.1609/aaai.v39i4.32457,,https://openalex.org/W4409368417; https://arxiv.org/abs/2311.17179,https://ojs.aaai.org/index.php/AAAI/article/download/32457/34612,34,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,SatCLIP,SatCLIP,https://arxiv.org/abs/2311.17179,link,https://github.com/microsoft/satclip,Remote Sensing Vision-Location Foundation Models
cand0117,2025,DynamicVis: Dynamic Visual Perception for Efficient Remote Sensing Foundation Models,Keyan Chen; Chenyang Liu; Bowen Chen; Wenyuan Li; Zhengxia Zou; Shijian Lu; Zhenwei Shi,arXiv cs.CV; Arxiv2025,foundation_models,preprint,,2503.16426v2,http://arxiv.org/abs/2503.16426v2; https://arxiv.org/abs/2503.16426,https://arxiv.org/pdf/2503.16426v2,,arXiv,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,DynamicVis,DynamicVis,https://arxiv.org/abs/2503.16426,link,https://github.com/KyanChen/DynamicVis,Remote Sensing Vision Foundation Models
cand0121,2024,SkySense: A Multi-Modal Remote Sensing Foundation Model Towards Universal Interpretation for Earth Observation Imagery,Xin Guo; Jiangwei Lao; Bo Dang; Yingying Zhang; Lei Yu; Lixiang Ru; Liheng Zhong; Ziyuan Huang,CVPR2024,foundation_models,article,10.1109/cvpr52733.2024.02613,,https://openalex.org/W4402667899; https://openaccess.thecvf.com/content/CVPR2024/html/Guo_SkySense_A_Multi-Modal_Remote_Sensing_Foundation_Model_Towards_Universal_Interpretation_CVPR_2024_paper.html; https://arxiv.org/abs/2312.10115,,172,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,SkySense,SkySense,https://openaccess.thecvf.com/content/CVPR2024/html/Guo_SkySense_A_Multi-Modal_Remote_Sensing_Foundation_Model_Towards_Universal_Interpretation_CVPR_2024_paper.html; https://arxiv.org/abs/2312.10115,link; Targeted open-source,https://github.com/Jack-bo1220/SkySense,Remote Sensing Vision Foundation Models; Benchmarks for RSFMs
cand0126,2024,Prithvi-EO-2.0: A Versatile Multi-Temporal Foundation Model for Earth Observation Applications,Daniela Szwarcman; Sujit Roy; Paolo Fraccaro; Þorsteinn Elí Gíslason; Benedikt Blumenstiel; Rinki Ghosal; Pedro Henrique de Oliveira; J. Almeida,JuSER (Forschungszentrum Jülich); Arxiv2024,foundation_models,preprint,10.48550/arxiv.2412.02732,,https://openalex.org/W4405075202; https://arxiv.org/abs/2412.02732,,19,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,Prithvi-EO-2.0,Prithvi-EO-2.0,https://arxiv.org/abs/2412.02732,link,https://huggingface.co/ibm-nasa-geospatial/Prithvi-EO-2.0-300M,Remote Sensing Vision Foundation Models
cand0150,2022,Consecutive Pre-Training: A Knowledge Transfer Learning Strategy with Relevant Unlabeled Data for Remote Sensing Domain,Tong Zhang; Peng Gao; Hao Dong; Yin Zhuang; Guanqun Wang; Wei Zhang; He Chen,Remote Sensing; RS2022,foundation_models,article,10.3390/rs14225675,,https://openalex.org/W4308703323; https://www.mdpi.com/2072-4292/14/22/5675#,https://www.mdpi.com/2072-4292/14/22/5675/pdf?version=1668075607,39,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,CSPT,CSPT,https://www.mdpi.com/2072-4292/14/22/5675#,link,https://github.com/ZhAnGToNG1/transfer_learning_cspt,Remote Sensing Vision Foundation Models
cand0172,2024,Decoupling Common and Unique Representations for Multimodal Self-supervised Learning,Yi Wang; Conrad M Albrecht; Nassim Ait Ali Braham; Chenying Liu; Zhitong Xiong; Xiao Xiang Zhu,Lecture notes in computer science; ECCV2024,foundation_models,book-chapter,10.1007/978-3-031-73397-0_17,,https://openalex.org/W4403998581; https://doi.org/10.1007/978-3-031-73397-0_17,https://elib.dlr.de/199498/2/04236-supp.pdf,32,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,DeCUR,DeCUR,https://doi.org/10.1007/978-3-031-73397-0_17,link,https://github.com/zhu-xlab/DeCUR,Remote Sensing Vision Foundation Models
cand0246,2025,CrossEarth: Geospatial Vision Foundation Model for Domain Generalizable Remote Sensing Semantic Segmentation,Ziyang Gong; Zhixiang Wei; Di Wang; Xiaoxing Hu; Xianzheng Ma; Hongruixuan Chen; Yuru Jia; Yupeng Deng,IEEE Transactions on Pattern Analysis and Machine Intelligence; IEEE TPAMI2025,foundation_models,article,10.1109/tpami.2025.3649001,,https://openalex.org/W7117464204; https://doi.org/10.1109/tpami.2025.3649001,,3,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,CrossEarth,CrossEarth,https://doi.org/10.1109/tpami.2025.3649001,link,https://github.com/Cuzyoung/CrossEarth,Remote Sensing Vision Foundation Models
cand0258,2025,Can Generative Geospatial Diffusion Models Excel as Discriminative Geospatial Foundation Models?,Yuru Jia; Valerio Marsocci; Ziyang Gong; Xue Yang; Maarten Vergauwen; Andrea Nascetti,ICCV2025,foundation_models,article,10.1109/iccv51701.2025.00789,,https://openalex.org/W4414566291; https://arxiv.org/abs/2503.07890,https://arxiv.org/pdf/2503.07890,0,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,SatDiFuser,SatDiFuser,https://arxiv.org/abs/2503.07890,link,https://github.com/yurujaja/SatDiFuser,Remote Sensing Vision Foundation Models
cand0278,2024,Foundation Models for Generalist Geospatial Artificial Intelligence,Johannes Jakubik; Sujit Roy; Chris Phillips; Paolo Fraccaro; Bianca Zadrozny; Pontus Olofsson; Daniela Szwarcman; Carlos Augusto Gomes,SSRN Electronic Journal; Arxiv2023,foundation_models,preprint,10.2139/ssrn.4804009,,https://openalex.org/W4395055639; https://arxiv.org/abs/2310.18660,,94,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,Prithvi,Prithvi,https://arxiv.org/abs/2310.18660,link,https://huggingface.co/ibm-nasa-geospatial,Remote Sensing Vision Foundation Models
cand0279,2024,Predicting gradient is better: Exploring self-supervised learning for SAR ATR with a joint-embedding predictive architecture,Weijie Li; Wei Yang; Tianpeng Liu; Yuenan Hou; Y. Li; Zhen Liu; Yongxiang Liu; Li Liu,ISPRS Journal of Photogrammetry and Remote Sensing; ISPRS JPRS2024,foundation_models,article,10.1016/j.isprsjprs.2024.09.013,,https://openalex.org/W4402734376; https://www.sciencedirect.com/science/article/pii/S0924271624003514,,52,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,SAR-JEPA,SAR-JEPA,https://www.sciencedirect.com/science/article/pii/S0924271624003514,link,https://github.com/waterdisappear/SAR-JEPA,Remote Sensing Vision Foundation Models
cand0293,2024,SatVision-TOA: A Geospatial Foundation Model for Coarse-Resolution All-Sky Remote Sensing Imagery,Caleb S. Spradlin; Jordan A. Caraballo‐Vega; Jian Li; Mark Carroll; Jie Gong; Paul Montesano,arXiv (Cornell University); Arxiv2024,foundation_models,preprint,10.48550/arxiv.2411.17000,,https://openalex.org/W4404988305; https://arxiv.org/abs/2411.17000,https://arxiv.org/pdf/2411.17000,0,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,SatVision-TOA,SatVision-TOA,https://arxiv.org/abs/2411.17000,link,https://github.com/nasa-nccs-hpda/pytorch-caney,Remote Sensing Vision Foundation Models
cand0322,2025,FUSAR-KLIP: Towards Multimodal Foundation Models for Remote Sensing,"Yi Yang; Xiaokun Zhang; Fang, Qingchen; Liu, Jing; Ziqi Ye; Rui Li; Li Liu; Haipeng Wang",arXiv (Cornell University); Arxiv2025,foundation_models,preprint,10.48550/arxiv.2509.23927,,https://openalex.org/W4415334937; https://arxiv.org/abs/2509.23927,https://arxiv.org/pdf/2509.23927,0,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,FUSAR-KLIP,FUSAR-KLIP,https://arxiv.org/abs/2509.23927,link,https://github.com/yangyifremad/SARKnowLIP,Remote Sensing Vision-Language Foundation Models
cand0396,2024,SkyScript: A Large and Semantically Diverse Vision-Language Dataset for Remote Sensing,Zhecheng Wang; Rajanie Prabha; Tianyuan Huang; Jiajun Wu; Ram Rajagopal,Proceedings of the AAAI Conference on Artificial Intelligence; AAAI2024,foundation_models,article,10.1609/aaai.v38i6.28393,,https://openalex.org/W4393159564; https://arxiv.org/abs/2312.12856,https://ojs.aaai.org/index.php/AAAI/article/download/28393/28768,71,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,SkyCLIP; SkyScript,SkyCLIP; SkyScript,https://arxiv.org/abs/2312.12856,link,https://github.com/wangzhecheng/SkyScript,Remote Sensing Vision-Language Foundation Models; (Large-scale) Pre-training Datasets
cand0414,2024,ChatEarthNet: A Global-Scale Image-Text Dataset Empowering Vision-Language Geo-Foundation Models,Zhenghang Yuan; Zhitong Xiong; Lichao Mou; Xiao Xiang Zhu,ESSD2025,foundation_models,preprint,10.5194/essd-2024-140,,https://openalex.org/W4400092781; https://doi.org/10.5194/essd-17-1245-2025,,5,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,ChatEarthNet,ChatEarthNet,https://doi.org/10.5194/essd-17-1245-2025,link,https://github.com/zhu-xlab/ChatEarthNet,(Large-scale) Pre-training Datasets
cand0424,2023,DiffusionSat: A Generative Foundation Model for Satellite Imagery,Samar Khanna; Patrick Liu; Linqi Zhou; Chenlin Meng; Robin Rombach; Marshall Burke; David B. Lobell; Stefano Ermon,arXiv (Cornell University); ICLR2024,foundation_models,preprint,10.48550/arxiv.2312.03606,,https://openalex.org/W4389471355; https://arxiv.org/abs/2312.03606,https://arxiv.org/pdf/2312.03606,31,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,DiffusionSat,DiffusionSat,https://arxiv.org/abs/2312.03606,link,https://github.com/samar-khanna/DiffusionSat,Remote Sensing Generative Foundation Models
cand0436,2022,"SSL4EO-S12: A Large-Scale Multi-Modal, Multi-Temporal Dataset for Self-Supervised Learning in Earth Observation",Yi Wang; Nassim Ait Ali Braham; Zhitong Xiong; Chenying Liu; Conrad M Albrecht; Xiao Xiang Zhu,arXiv (Cornell University); GRSM2023,remote_sensing_pretraining,preprint,10.48550/arxiv.2211.07044,,https://openalex.org/W4309132693; https://arxiv.org/abs/2211.07044,https://arxiv.org/pdf/2211.07044,26,OpenAlex,"""remote sensing"" ""self-supervised""",candidate_model,metadata candidate; screen before citing,SSL4EO-S12,SSL4EO-S12,https://arxiv.org/abs/2211.07044,link,https://github.com/zhu-xlab/SSL4EO-S12,(Large-scale) Pre-training Datasets
cand0439,2026,GAIR: Location-aware self-supervised contrastive pre-training with geo-aligned implicit representations,Zeping Liu; Fan Zhang; Junfeng Jiao; Ni Lao; Gengchen Mai,ISPRS Journal of Photogrammetry and Remote Sensing; Arxiv2025,foundation_models,article,10.1016/j.isprsjprs.2026.04.035,,https://openalex.org/W4417150304; https://arxiv.org/abs/2503.16683,https://arxiv.org/pdf/2503.16683,2,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,GAIR,GAIR,https://arxiv.org/abs/2503.16683,link,https://github.com/zpl99/GAIR,Remote Sensing Vision-Location Foundation Models
cand0505,2025,DeepAndes: A Self-Supervised Vision Foundation Model for Multispectral Remote Sensing Imagery of the Andes,Junlin Guo; James Zimmer‐Dauphinee; Jordan M. Nieusma; Siqi Lu; Quan Liu; Ruining Deng; Can Cui; Jialin Yue,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing; IEEE JSTARS2025,foundation_models,article,10.1109/jstars.2025.3619423,,https://openalex.org/W4414955865; https://doi.org/10.1109/jstars.2025.3619423,,2,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,DeepAndes,DeepAndes,https://doi.org/10.1109/jstars.2025.3619423,link,https://github.com/geopacha/DeepAndes,Remote Sensing Vision Foundation Models
cand0579,2024,OmniSat: Self-supervised Modality Fusion for Earth Observation,Guillaume Astruc; Nicolas Gonthier; Clément Mallet; Loïc Landrieu,Lecture notes in computer science; ECCV2024,foundation_models,book-chapter,10.1007/978-3-031-73390-1_24,,https://openalex.org/W4394838889; https://doi.org/10.1007/978-3-031-73390-1_24,https://arxiv.org/pdf/2404.08351,28,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,OmniSat,OmniSat,https://doi.org/10.1007/978-3-031-73390-1_24,link,https://github.com/gastruc/OmniSat?tab=readme-ov-file,Remote Sensing Vision Foundation Models
cand0643,2023,GEO-Bench: Toward Foundation Models for Earth Monitoring,Alexandre Lacoste; Nils Lehmann; Pau Rodriguez; Evan David Sherwin; Hannah Kerner; Björn Lütjens; Jeremy Andrew Irvin; David Dao,arXiv cs.LG;cs.CV; Arxiv2023,benchmark_evaluation,preprint,,2306.03831v2,http://arxiv.org/abs/2306.03831v2; https://arxiv.org/abs/2306.03831,https://arxiv.org/pdf/2306.03831v2,,arXiv,"""remote sensing"" ""foundation model"" evaluation",candidate_model,metadata candidate; screen before citing,GEO-Bench,Paper; GEO-Bench,https://arxiv.org/abs/2306.03831,link,https://github.com/ServiceNow/geo-bench,Benchmarks for RSFMs; (Large-scale) Pre-training Datasets
cand0707,2025,DGTRSD & DGTRS-CLIP: A Dual-Granularity Remote Sensing Image-Text Dataset and Vision Language Foundation Model for Alignment,Weizhi Chen; Yupeng Deng; Jin Wei; Jingbo Chen; Jiansheng Chen; Yuman Feng; Zhihao Xi; Diyou Liu,arXiv cs.CV;cs.AI; Arxiv2025,foundation_models,preprint,,2503.19311v2,http://arxiv.org/abs/2503.19311v2; https://arxiv.org/abs/2503.19311,https://arxiv.org/pdf/2503.19311v2,,arXiv,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,DGTRS-CLIP; DGTRSD,DGTRS-CLIP; Paper,https://arxiv.org/abs/2503.19311,link,https://github.com/MitsuiChen14/DGTRS,Remote Sensing Vision-Language Foundation Models; (Large-scale) Pre-training Datasets
cand0718,2024,RemoteCLIP: A Vision Language Foundation Model for Remote Sensing,Fan Liu; Delong Chen; Zhangqingyun Guan; Xiaocong Zhou; Jiale Zhu; Qiaolin Ye; Liyong Fu; Jun Zhou,IEEE Transactions on Geoscience and Remote Sensing; IEEE TGRS2024,foundation_models,article,10.1109/tgrs.2024.3390838,,https://openalex.org/W4394938913; https://arxiv.org/abs/2306.11029,,311,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,RemoteCLIP,RemoteCLIP,https://arxiv.org/abs/2306.11029,link,https://github.com/ChenDelong1999/RemoteCLIP,Remote Sensing Vision-Language Foundation Models
cand0722,2024,Neural Plasticity-Inspired Multimodal Foundation Model for Earth Observation,Zhitong Xiong; Yi Wang; Fahong Zhang; Adam J. Stewart; Joëlle Hanna; Damian Borth; Ioannis Papoutsis; Bertrand Le Saux,arXiv (Cornell University); Arxiv2024,foundation_models,preprint,10.48550/arxiv.2403.15356,,https://openalex.org/W4393178589; https://arxiv.org/abs/2403.15356,https://arxiv.org/pdf/2403.15356,20,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,DOFA,DOFA,https://arxiv.org/abs/2403.15356,link,https://github.com/zhu-xlab/DOFA,Remote Sensing Vision Foundation Models
cand0723,2024,Pretrain a Remote Sensing Foundation Model by Promoting Intra-Instance Similarity,Xiao An; Wei He; Jiaqi Zou; Guangyi Yang; Hongyan Zhang,IEEE Transactions on Geoscience and Remote Sensing; TGRS2024,foundation_models,article,10.1109/tgrs.2024.3469568,,https://openalex.org/W4402917173; https://ieeexplore.ieee.org/abstract/document/10697182,,9,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,PIS,PIS,https://ieeexplore.ieee.org/abstract/document/10697182,link,https://github.com/ShawnAn-WHU/PIS,Remote Sensing Vision Foundation Models
cand0728,2024,MTP: Advancing Remote Sensing Foundation Model via Multi-Task Pretraining,Di Wang; Jing Zhang; Minqiang Xu; Lin Liu; Dongsheng Wang; Erzhong Gao; Chengxi Han; Haonan Guo,arXiv (Cornell University); IEEE JSTARS2024,foundation_models,preprint,10.48550/arxiv.2403.13430,,https://openalex.org/W4393063512; https://doi.org/10.1109/jstars.2024.3408154,https://arxiv.org/pdf/2403.13430,1,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,MTP,MTP,https://doi.org/10.1109/jstars.2024.3408154,link,https://github.com/ViTAE-Transformer/MTP,Remote Sensing Vision Foundation Models
cand0731,2024,Multi-Label Guided Soft Contrastive Learning for Efficient Earth Observation Pretraining,Yi Wang; Conrad M Albrecht; Xiao Xiang Zhu,elib (German Aerospace Center); TGRS2024,foundation_models,preprint,10.48550/arxiv.2405.20462,,https://openalex.org/W4399317102; https://ieeexplore.ieee.org/abstract/document/10726860,https://arxiv.org/pdf/2405.20462,1,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,SoftCon,SoftCon,https://ieeexplore.ieee.org/abstract/document/10726860,link,https://github.com/zhu-xlab/softcon?tab=readme-ov-file,Remote Sensing Vision Foundation Models
cand0775,2025,HyperSIGMA: Hyperspectral Intelligence Comprehension Foundation Model,Di Wang; Meiqi Hu; Yao Jin; Yuchun Miao; Jiaqi Yang; Yichu Xu; Xiaolei Qin; Jiaqi Ma,IEEE Transactions on Pattern Analysis and Machine Intelligence; IEEE TPAMI2025,foundation_models,article,10.1109/tpami.2025.3557581,,https://openalex.org/W4409263216; https://arxiv.org/abs/2406.11519,,106,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,HyperSIGMA,HyperSIGMA,https://arxiv.org/abs/2406.11519,link,https://github.com/WHU-Sigma/HyperSIGMA?tab=readme-ov-file,Remote Sensing Vision Foundation Models
