metric_id,metric_name,abbreviation,metric_family,higher_is_better,aliases,description,extracted_paper_count
f_score_3d,3D F-score,F-score,3d,true,3d f-score|f-score@,3D reconstruction F-score.,0
false_alarm_rate,False Alarm Rate,FAR,event_detection,false,false alarm rate|false alarm ratio|FAR|false positive rate|FPR,Rate or ratio of false alarms.,114
frechet_inception_distance,Frechet Inception Distance,FID,generation,false,frechet inception distance|fréchet inception distance|fid,Distribution distance for generated images.,23
frequency_weighted_iou,Frequency Weighted Intersection over Union,FWIoU,segmentation,true,frequency weighted iou|frequency-weighted iou|fwiou,Frequency-weighted IoU.,1
geodesic_error,Geodesic Error,GeoErr,geolocation,false,geodesic error|great-circle error|haversine error|localization error|median localization error,Geographic localization distance error.,2
hausdorff_distance,Hausdorff Distance,HD,geometry,false,hausdorff distance|modified Hausdorff distance,Boundary or geometry distance metric.,2
hota,Higher Order Tracking Accuracy,HOTA,tracking,true,hota|higher order tracking accuracy,Tracking association/localization metric.,0
idf1,ID F1 Score,IDF1,tracking,true,idf1|id f1,Identity F1 tracking score.,0
inception_score,Inception Score,IS,generation,true,inception score,Generative image quality/diversity metric.,1
intersection_over_union,Intersection over Union,IoU,segmentation_detection,true,intersection over union|iou,Overlap between prediction and target.,189
kernel_inception_distance,Kernel Inception Distance,KID,generation,false,kernel inception distance|kid,Kernel distance for generated images.,2
kling_gupta_efficiency,Kling Gupta Efficiency,KGE,forecasting_hydrology,true,Kling Gupta Efficiency|KGE,Hydrologic forecast skill metric.,2
learned_perceptual_image_patch_similarity,Learned Perceptual Image Patch Similarity,LPIPS,generation_restoration,false,lpips|learned perceptual image patch similarity,Perceptual image distance.,18
log_loss,Log Loss,LogLoss,classification,false,log loss|log-loss|cross entropy|cross-entropy,Probabilistic classification loss.,22
macro_f1,Macro F1,Macro-F1,classification,true,macro f1|macro-f1,Unweighted mean of class F1 scores.,11
mean_absolute_error,Mean Absolute Error,MAE,regression_forecasting,false,mae|mean absolute error,Mean absolute error.,129
mean_absolute_percentage_error,Mean Absolute Percentage Error,MAPE,forecasting,false,mape|mean absolute percentage error,Mean absolute percentage error.,9
mean_average_precision,Mean Average Precision,mAP,detection_retrieval,true,mean average precision|map50|map75|map@50|map@75|coco map,Mean average precision.,39
mean_intersection_over_union,Mean Intersection over Union,mIoU,segmentation,true,mean intersection over union|mean iou|miou,Mean IoU over classes.,149
mean_pixel_accuracy,Mean Pixel Accuracy,mPA,segmentation,true,mean pixel accuracy,Mean pixel accuracy over classes.,0
mean_reciprocal_rank,Mean Reciprocal Rank,MRR,retrieval,true,mean reciprocal rank|mrr,Mean reciprocal rank.,1
mean_squared_error,Mean Squared Error,MSE,regression_forecasting,false,mse|mean squared error|mean square error,Mean squared error.,77
meteor,Metric for Evaluation of Translation with Explicit ORdering,METEOR,captioning_text,true,meteor,Captioning/text metric.,4
micro_f1,Micro F1,Micro-F1,classification,true,micro f1|micro-f1,Micro-averaged F1 score.,2
mota,Multiple Object Tracking Accuracy,MOTA,tracking,true,mota|multiple object tracking accuracy,Tracking accuracy.,0
motp,Multiple Object Tracking Precision,MOTP,tracking,true,motp|multiple object tracking precision,Tracking precision.,0
ms_ssim,Multi-Scale Structural Similarity Index Measure,MS-SSIM,restoration_generation,true,ms-ssim|msssim|multi-scale ssim|multi scale ssim,Multi-scale SSIM.,0
nash_sutcliffe_efficiency,Nash Sutcliffe Efficiency,NSE,forecasting_hydrology,true,Nash Sutcliffe Efficiency|NSE|model efficiency coefficient,Hydrologic forecast skill metric.,2
negative_log_likelihood,Negative Log Likelihood,NLL,probabilistic,false,negative log likelihood|negative log-likelihood,Negative log likelihood.,1
normalized_discounted_cumulative_gain,Normalized Discounted Cumulative Gain,NDCG,retrieval,true,ndcg|normalized discounted cumulative gain,Ranking quality metric.,0
overall_accuracy,Overall Accuracy,OA,classification,true,overall accuracy,"Overall accuracy, common in remote sensing classification.",115
panoptic_quality,Panoptic Quality,PQ,panoptic_segmentation,true,panoptic quality,Panoptic segmentation quality.,1
pearson_correlation,Pearson Correlation,Pearson r,regression,true,pearson correlation|pearson r,Linear correlation.,6
phase_root_mean_squared_error,Phase Root Mean Squared Error,Phase RMSE,sar_insar,false,phase RMSE|InSAR phase RMSE|interferometric phase error,Phase error metric for InSAR tasks.,0
pixel_accuracy,Pixel Accuracy,PA,segmentation,true,pixel accuracy,Pixel-level accuracy.,9
polygon_line_segment_distance,Polygon Line Segment Distance,PoLiS,geometry,false,PoLiS|polygon line segment distance|polyline distance,Polygon/polyline geometry distance metric.,0
precision,Precision,Precision,classification_detection_segmentation,true,precision,Positive predictive value.,373
precision_at_k,Precision at K,P@K,retrieval,true,precision@|p@1|p@5|p@10|precision at k,Retrieval precision at rank K.,6
psnr,Peak Signal-to-Noise Ratio,PSNR,restoration_generation,true,psnr|peak signal-to-noise|peak signal to noise,Image reconstruction fidelity.,88
quality_with_no_reference,Quality with No Reference,QNR,pansharpening_fusion,true,QNR|quality with no reference|no-reference quality index|QNR index,No-reference pansharpening/image fusion quality index.,1
r_squared,Coefficient of Determination,R2,regression,true,r2 score|r-squared|r squared|coefficient of determination,Coefficient of determination.,15
recall,Recall,Recall,classification_detection_segmentation,true,recall|sensitivity,True positive rate.,244
recall_at_k,Recall at K,R@K,retrieval,true,recall@|r@1|r@5|r@10|recall at k,Retrieval recall at rank K.,10
recognition_quality,Recognition Quality,RQ,panoptic_segmentation,true,recognition quality,Panoptic segmentation recognition-quality term.,0
registration_recall,Registration Recall,RR,registration,true,registration recall,Registration success recall.,0
relative_pose_error,Relative Pose Error,RPE,slam_registration,false,relative pose error,Relative pose error.,0
root_mean_squared_error,Root Mean Squared Error,RMSE,regression_forecasting,false,rmse|root mean squared error|root-mean-square error|root mean square error,Root mean squared error.,137
rotated_box_mean_average_precision,Rotated Box Mean Average Precision,OBB mAP,detection,true,rotated mAP|oriented mAP|DOTA mAP|mAP-r|oriented bounding box mAP,Mean average precision for oriented or rotated object detection.,0
rouge,Recall-Oriented Understudy for Gisting Evaluation,ROUGE,captioning_text,true,rouge|rouge-l|rouge l,Text overlap metric.,5
sam,Spectral Angle Mapper,SAM,hyperspectral_fusion,false,spectral angle mapper|spectral angle,Spectral angle error.,16
segmentation_quality,Segmentation Quality,SQ,panoptic_segmentation,true,segmentation quality,Panoptic segmentation segmentation-quality term.,10
separated_kappa,Separated Kappa,SeK,change_detection,true,SeK|separated kappa|semantic change detection kappa,Kappa variant used for semantic change detection.,5
spearman_correlation,Spearman Rank Correlation,Spearman rho,regression,true,spearman correlation|spearman rho,Rank correlation.,0
specificity,Specificity,Specificity,classification,true,specificity,True negative rate.,18
spectral_information_divergence,Spectral Information Divergence,SID,hyperspectral,false,spectral information divergence,Spectral divergence metric.,0
spice,Semantic Propositional Image Caption Evaluation,SPICE,captioning,true,spice,Semantic image captioning metric.,1
ssim,Structural Similarity Index Measure,SSIM,restoration_generation,true,ssim|structural similarity,Image structural similarity.,74
symmetric_mean_absolute_percentage_error,Symmetric Mean Absolute Percentage Error,sMAPE,forecasting,false,smape|symmetric mean absolute percentage error,Symmetric MAPE.,1
target_registration_error,Target Registration Error,TRE,registration,false,target registration error|TRE|registration RMSE|control point RMSE|GCP RMSE|tie point RMSE,Registration error measured at targets or control points.,0
top_1_accuracy,Top-1 Accuracy,Top-1 Acc,classification,true,top-1 accuracy|top 1 accuracy|top-1 acc|top1 accuracy|top1 acc,Top-ranked prediction accuracy.,7
top_5_accuracy,Top-5 Accuracy,Top-5 Acc,classification,true,top-5 accuracy|top 5 accuracy|top-5 acc|top5 accuracy|top5 acc,Accuracy when the correct class appears in top five predictions.,1
topology_f1,Topology F1,TOPO,network_topology,true,Topology F1|TOPO|topology F-score|connectivity F1,Topology/connectivity F1 for extracted networks.,4
vqa_accuracy,Visual Question Answering Accuracy,VQA Acc,vqa,true,vqa accuracy|answer accuracy,Visual question answering accuracy.,2
