technique_name,type
Bilateral Segmentation Network (BiSeNet),architecture
capsule network (CapsNet),architecture
ChangeFormer,architecture
channel attention,architecture
co-attention,architecture
conditional generative adversarial network (cGAN),architecture
conditional random field (CRF),architecture
Conformer,architecture
ConvMixer,architecture
convnext base,architecture
convnext large,architecture
convnext small,architecture
convnext tiny,architecture
convolution,architecture
convolutional block attention module (CBAM),architecture
convolutional long short-term memory (ConvLSTM),architecture
convolutional network next (ConvNeXt),architecture
convolutional neural network (CNN),architecture
cross-attention,architecture
CrossViT,architecture
decoder-only transformer,architecture
deep convolutional generative adversarial network (DCGAN),architecture
deep lab version 3 plus (DeepLabV3+),architecture
deep neural network,architecture
DeepLab,architecture
DeepLabV3,architecture
DeepLabV3 MobileNet v3 large,architecture
DeepLabV3 ResNet-101,architecture
DeepLabV3 ResNet-50,architecture
DeepSeek sparse attention,architecture
deformable attention,architecture
deformable convolution,architecture
deformable detection transformer (Deformable DETR),architecture
DeiT,architecture
denoising diffusion implicit model (DDIM),architecture
denoising diffusion probabilistic model (DDPM),architecture
DenseNet,architecture
DenseNet-121,architecture
DenseNet-161,architecture
DenseNet-169,architecture
DenseNet-201,architecture
depthwise convolution,architecture
depthwise separable convolution,architecture
detection transformer (DETR),architecture
diffusion model,architecture
diffusion transformer (DiT),architecture
dilated convolution,architecture
discriminator network,architecture
dual attention network (DANet),architecture
dual encoder architecture,architecture
efficient attention,architecture
efficient convolutional neural network (EfficientNet),architecture
efficient neural network (ENet),architecture
EfficientDet,architecture
efficiently learning an encoder that classifies token replacements accurately (ELECTRA),architecture
EfficientNet b0,architecture
EfficientNet b1,architecture
EfficientNet b2,architecture
EfficientNet b3,architecture
EfficientNet b4,architecture
EfficientNet b5,architecture
EfficientNet b6,architecture
EfficientNet b7,architecture
EfficientNet v2 l,architecture
EfficientNet v2 m,architecture
EfficientNet v2 s,architecture
encoder-decoder architecture,architecture
encoder-only transformer,architecture
equivariant neural network,architecture
fast region-based convolutional neural network (Fast R-CNN),architecture
Faster R-CNN MobileNet v3 large 320 fpn,architecture
Faster R-CNN MobileNet v3 large fpn,architecture
Faster R-CNN ResNet-50 fpn,architecture
Faster R-CNN ResNet-50 fpn v2,architecture
faster region-based convolutional neural network (Faster R-CNN),architecture
feature pyramid network (FPN),architecture
feedforward network,architecture
flash attention,architecture
FNet,architecture
Fourier neural operator (FNO),architecture
FT-Transformer,architecture
fully convolutional network (FCN),architecture
fully convolutional network (FCN) ResNet-101,architecture
fully convolutional network (FCN) ResNet-50,architecture
fully convolutional one-stage detector (FCOS) ResNet-50 fpn,architecture
gated attention unit (GAU),architecture
gated convolutional network (GCN),architecture
gated recurrent unit (GRU),architecture
generative adversarial network (GAN),architecture
Generative networks,architecture
generator network,architecture
GoogLeNet,architecture
graph attention network (GAT),architecture
graph convolutional network (GCN),architecture
graph isomorphism network (GIN),architecture
graph neural network (GNN),architecture
graph sample and aggregate network (GraphSAGE),architecture
graph transformer,architecture
grouped-query attention,architecture
high-resolution network (HRNet),architecture
high-resolution transformer (HRFormer),architecture
Hyena hierarchy,architecture
hypernetwork,architecture
ImageGPT,architecture
implicit neural representation,architecture
Inception network,architecture
Inception-ResNet,architecture
Inception-v3,architecture
invariant neural network,architecture
Keypoint R-CNN ResNet-50 fpn,architecture
Kimi Delta Attention,architecture
large language model (LLM),architecture
latent diffusion model (LDM),architecture
LeNet,architecture
linear attention,architecture
linear transformer,architecture
Linformer,architecture
LinkNet,architecture
long short-term memory (LSTM),architecture
Long Short-Term Transformer (LSTT),architecture
long short-term transformer network (LSTNet),architecture
Longformer,architecture
lraspp MobileNet v3 large,architecture
Mask R-CNN ResNet-50 fpn,architecture
Mask R-CNN ResNet-50 fpn v2,architecture
mask region-based convolutional neural network (Mask R-CNN),architecture
Mask2Former,architecture
masked autoencoder (MAE),architecture
masked siamese network,architecture
MaskFormer,architecture
matching network,architecture
MaxViT,architecture
MaxViT-T,architecture
mc3 18,architecture
memory-augmented neural network,architecture
mixture of experts (MoE),architecture
MLP-Mixer,architecture
MNASNet-0.5,architecture
MNASNet-0.75,architecture
MNASNet-1.0,architecture
MNASNet-1.3,architecture
MobileNet,architecture
MobileNet v2,architecture
MobileNet v3 large,architecture
MobileNet v3 small,architecture
MobileNetV2,architecture
MobileNetV3,architecture
MobileViT,architecture
multi-head attention,architecture
multi-latent attention (MLA),architecture
multi-query attention (MQA),architecture
mvit v1 b,architecture
mvit v2 s,architecture
N-BEATS,architecture
N-HiTS,architecture
NASNet,architecture
nested U-shaped network (UNet++),architecture
neural basis expansion analysis for interpretable time series forecasting (N-BEATS),architecture
neural network U-Net (nnU-Net),architecture
neural operator,architecture
neural ordinary differential equation (Neural ODE),architecture
neural radiance field (NeRF),architecture
neural transformer (NeuralTrans),architecture
normalizing flow,architecture
OCRNet,architecture
one-by-one convolution (1x1 convolution),architecture
perceiver architecture,architecture
Perceiver IO,architecture
Point Transformer,architecture
PointNet,architecture
PointNet++,architecture
pointwise convolution,architecture
pooling-based vision transformer (PiT),architecture
prototypical network,architecture
Pyramid Scene Parsing Network (PSPNet),architecture
quantized googlenet,architecture
quantized inception v3,architecture
quantized MobileNet v2,architecture
quantized MobileNet v3 large,architecture
quantized ResNet-18,architecture
quantized ResNet-50,architecture
quantized ResNeXt-101 32x8d,architecture
quantized ResNeXt-101 64x4d,architecture
quantized ShuffleNet v2 x0 5,architecture
quantized ShuffleNet v2 x1 0,architecture
quantized ShuffleNet v2 x1 5,architecture
quantized ShuffleNet v2 x2 0,architecture
r2plus1d 18,architecture
r3d 18,architecture
recurrent all-pairs field transforms (RAFT) large,architecture
recurrent all-pairs field transforms (RAFT) small,architecture
recurrent neural network (RNN),architecture
Reformer,architecture
region of interest align (RoIAlign),architecture
region of interest pooling (RoIPool),architecture
region proposal network (RPN),architecture
region-based convolutional neural network (R-CNN),architecture
region-based fully convolutional network (R-FCN),architecture
RegNet,architecture
regnet x 1 6gf,architecture
regnet x 16gf,architecture
regnet x 3 2gf,architecture
regnet x 32gf,architecture
regnet x 400mf,architecture
regnet x 800mf,architecture
regnet x 8gf,architecture
regnet y 1 6gf,architecture
regnet y 128gf,architecture
regnet y 16gf,architecture
regnet y 3 2gf,architecture
regnet y 32gf,architecture
regnet y 400mf,architecture
regnet y 800mf,architecture
regnet y 8gf,architecture
relation network,architecture
residual attention network,architecture
residual network (ResNet),architecture
residual U-shaped network (ResUNet),architecture
ResNet-101,architecture
ResNet-152,architecture
ResNet-18,architecture
ResNet-34,architecture
ResNet-50,architecture
ResNeXt,architecture
ResNeXt-101 32x8d,architecture
ResNeXt-101 64x4d,architecture
ResNeXt-50 32x4d,architecture
retentive network (RetNet),architecture
RetinaNet ResNet-50 fpn,architecture
RetinaNet ResNet-50 fpn v2,architecture
root mean square layer normalization (RMSNorm),architecture
rotary position embedding (RoPE),architecture
RWKV,architecture
S3D,architecture
S4 state space model (S4),architecture
SegFormer,architecture
SegNet,architecture
selective kernel network (SKNet),architecture
self-attention,architecture
semantic segmentation network (SSN),architecture
ShuffleNet,architecture
ShuffleNet v2 x0 5,architecture
ShuffleNet v2 x1 0,architecture
ShuffleNet v2 x1 5,architecture
ShuffleNet v2 x2 0,architecture
siamese network,architecture
Siamese U-shaped network (Siamese U-Net),architecture
single shot detector 300 (SSD300) VGG-16,architecture
single shot detector Lite 320 (SSDLite320) MobileNet v3 large,architecture
sliding window attention,architecture
sparse attention,architecture
sparse mixture of experts,architecture
spatial attention,architecture
spatial pyramid pooling network (SPPNet),architecture
squeeze-and-excitation network (SENet),architecture
SqueezeNet,architecture
squeezenet1 0,architecture
squeezenet1 1,architecture
state space models,architecture
Swin Transformer,architecture
Swin Transformer b,architecture
Swin Transformer s,architecture
Swin Transformer t,architecture
Swin Transformer v2 b,architecture
Swin Transformer v2 s,architecture
Swin Transformer v2 t,architecture
swin U-shaped network (Swin-Unet),architecture
swin UNET transformer (Swin UNETR),architecture
swin3d b,architecture
swin3d s,architecture
swin3d t,architecture
TabNet,architecture
TabTransformer,architecture
temporal convolutional network (TCN),architecture
temporal fusion transformer (TFT),architecture
transformer,architecture
Transformer-XL,architecture
U-Net transformer (UNETR),architecture
U-shaped network (U-Net),architecture
U-shaped network 3 plus (UNet 3+),architecture
variational autoencoder (VAE),architecture
vector quantized variational autoencoder (VQ-VAE),architecture
very deep convolutional network (VGG),architecture
VGG-11,architecture
VGG-11 bn,architecture
VGG-13,architecture
VGG-13 bn,architecture
VGG-16,architecture
VGG-16 bn,architecture
VGG-19,architecture
VGG-19 bn,architecture
vision longformer,architecture
Vision Mamba,architecture
vision transformer (ViT),architecture
vision transformer (ViT) b 16,architecture
vision transformer (ViT) b 32,architecture
vision transformer (ViT) h 14,architecture
vision transformer (ViT) l 16,architecture
vision transformer (ViT) l 32,architecture
vision-language-action model (VLA),architecture
visual geometry group network (VGGNet),architecture
Wide and Deep network,architecture
wide residual network (Wide ResNet),architecture
wide ResNet-101 2,architecture
wide ResNet-50 2,architecture
world model,architecture
xDeepFM,architecture
XLNet,architecture
active sampling,dataset technique
adaptive synthetic sampling (ADASYN),dataset technique
affine transformation augmentation,dataset technique
atmospheric correction,dataset technique
autoencoding,dataset technique
balanced sampling,dataset technique
binarization,dataset technique
binarizer,dataset technique
bootstrap resampling,dataset technique
byte pair encoding (BPE),dataset technique
center crop augmentation,dataset technique
channel dropout augmentation,dataset technique
channel shuffle augmentation,dataset technique
CLAHE augmentation,dataset technique
class-balanced sampling,dataset technique
cloud masking,dataset technique
coarse dropout augmentation,dataset technique
color jitter augmentation,dataset technique
copy-paste augmentation,dataset technique
count vectorization,dataset technique
count vectorizer,dataset technique
cut and mix augmentation (CutMix),dataset technique
cutout,dataset technique
cutout augmentation,dataset technique
data augmentation,dataset technique
data normalization,dataset technique
data pruning,dataset technique
dataset distillation,dataset technique
defocus augmentation,dataset technique
denoising autoencoding,dataset technique
dict vectorizer,dataset technique
discretization,dataset technique
downscale augmentation,dataset technique
elastic transformation augmentation,dataset technique
feature hasher,dataset technique
feature hashing,dataset technique
Fourier domain adaptation (FDA),dataset technique
function transformer,dataset technique
Gaussian blur augmentation,dataset technique
Gaussian noise augmentation,dataset technique
generic univariate select,dataset technique
geometric augmentation,dataset technique
geospatial reprojection,dataset technique
glass blur augmentation,dataset technique
grayscale conversion augmentation,dataset technique
grid distortion augmentation,dataset technique
grid dropout augmentation,dataset technique
grouped sampling,dataset technique
hard negative sampling,dataset technique
hashing vectorizer,dataset technique
histogram matching augmentation,dataset technique
horizontal flip augmentation,dataset technique
hue saturation value augmentation,dataset technique
image compression augmentation,dataset technique
ISO noise augmentation,dataset technique
k bins discretizer,dataset technique
k-nearest neighbors imputation (KNN imputation),dataset technique
kernel centerer,dataset technique
knn imputer,dataset technique
label binarizer,dataset technique
label encoder,dataset technique
label encoding,dataset technique
label noise robustness,dataset technique
label propagation,dataset technique
label smoothing,dataset technique
label-efficient learning,dataset technique
mask dropout augmentation,dataset technique
masked autoencoding,dataset technique
max abs scaler,dataset technique
median blur augmentation,dataset technique
min max scaler,dataset technique
min-max scaling,dataset technique
missing indicator,dataset technique
missing value imputation,dataset technique
mixup augmentation,dataset technique
model calibration,dataset technique
morphological dilation,dataset technique
morphological erosion,dataset technique
mosaic augmentation,dataset technique
motion blur augmentation,dataset technique
multi label binarizer,dataset technique
multiplicative noise augmentation,dataset technique
near-miss undersampling,dataset technique
negative sampling,dataset technique
normalization preprocessing,dataset technique
normalizer,dataset technique
one hot encoder,dataset technique
one-hot encoding,dataset technique
optical distortion augmentation,dataset technique
ordinal encoder,dataset technique
ordinal encoding,dataset technique
orthorectification,dataset technique
oversampling,dataset technique
padding augmentation,dataset technique
pan-sharpening,dataset technique
partial label learning,dataset technique
patch extraction,dataset technique
patch extractor,dataset technique
perspective transformation augmentation,dataset technique
photometric augmentation,dataset technique
pixel distribution adaptation,dataset technique
polynomial feature expansion,dataset technique
polynomial features,dataset technique
positive-unlabeled learning,dataset technique
posterize augmentation,dataset technique
power transformation,dataset technique
power transformer,dataset technique
pseudo-labeling,dataset technique
quantile transformation,dataset technique
quantile transformer,dataset technique
radiometric calibration,dataset technique
random brightness contrast augmentation,dataset technique
random crop augmentation,dataset technique
random fog augmentation,dataset technique
random gamma augmentation,dataset technique
random masking,dataset technique
random oversampling,dataset technique
random rain augmentation,dataset technique
random resized crop augmentation,dataset technique
random rotate 90 augmentation,dataset technique
random scale augmentation,dataset technique
random shadow augmentation,dataset technique
random snow augmentation,dataset technique
random sun flare augmentation,dataset technique
random undersampling,dataset technique
raster resampling,dataset technique
recursive feature elimination (RFE),dataset technique
recursive feature elimination with cross-validation (RFECV),dataset technique
resize preprocessing,dataset technique
retrieval augmentation,dataset technique
RGB shift augmentation,dataset technique
robust scaler,dataset technique
robust scaling,dataset technique
rotation augmentation,dataset technique
salt-and-pepper noise augmentation,dataset technique
select fdr,dataset technique
select fpr,dataset technique
select from model,dataset technique
select fwe,dataset technique
select k best,dataset technique
select percentile,dataset technique
self-distillation with no labels (DINO),dataset technique
sepia augmentation,dataset technique
sequential feature selector,dataset technique
shadow masking,dataset technique
simple imputation,dataset technique
simple imputer,dataset technique
sliding-window tiling,dataset technique
solarize augmentation,dataset technique
spatial augmentation,dataset technique
spatter augmentation,dataset technique
speckle filtering,dataset technique
spectral augmentation,dataset technique
spline feature expansion,dataset technique
spline transformer,dataset technique
standard scaler,dataset technique
standard scaling,dataset technique
stratified sampling,dataset technique
superpixels augmentation,dataset technique
synthetic data generation,dataset technique
synthetic minority oversampling,dataset technique
synthetic minority oversampling technique (SMOTE),dataset technique
target encoder,dataset technique
target encoding,dataset technique
temperature scaling,dataset technique
term frequency-inverse document frequency vectorization (TF-IDF vectorization),dataset technique
terrain correction,dataset technique
test-time augmentation,dataset technique
test-time augmentation (TTA),dataset technique
test-time scaling,dataset technique
tfidf transformer,dataset technique
tfidf vectorizer,dataset technique
tiling,dataset technique
to-float preprocessing,dataset technique
token masking,dataset technique
uncertainty sampling,dataset technique
undersampling,dataset technique
variance threshold,dataset technique
vertical flip augmentation,dataset technique
weak label learning,dataset technique
weighted random sampling,dataset technique
zoom blur augmentation,dataset technique
Accelerate,framework
Adapters,framework
Albumentations,framework
AllenNLP,framework
Apache MXNet,framework
Apache Spark MLlib,framework
Asteroid,framework
BentoML,framework
BERTopic,framework
bitsandbytes,framework
CatBoost,framework
ClearML,framework
column transformer,framework
Core ML,framework
cuML,framework
CuPy,framework
Dask,framework
Dask-ML,framework
DDUF,framework
DeepSpeed,framework
Detectron2,framework
Diffusers,framework
DVC,framework
Earth Engine,framework
Equinox,framework
ESPnet,framework
ExecuTorch,framework
Fairseq,framework
fastai,framework
FastAPI,framework
fastText,framework
feature union,framework
FiftyOne,framework
Flair,framework
Flax,framework
GDAL,framework
GeoPandas,framework
Google Earth Engine,framework
GPT-generated unified format (GGUF),framework
Gradio,framework
Graphcore,framework
H2O.ai,framework
Habana,framework
Haiku,framework
Hugging Face Accelerate,framework
Hugging Face Datasets,framework
Hugging Face Evaluate,framework
Hugging Face Hub,framework
Hugging Face Optimum,framework
Hugging Face PEFT,framework
Hugging Face Safetensors,framework
Hugging Face Tokenizers,framework
Hugging Face TRL,framework
Hydra,framework
JAX,framework
JAXline,framework
Joblib,framework
Keras,framework
KerasHub,framework
Kornia,framework
KServe,framework
LangChain,framework
LightGBM,framework
Lightning AI,framework
LiteRT,framework
llama.cpp,framework
llamafile,framework
LlamaIndex,framework
Matplotlib,framework
ML-Agents,framework
MLflow,framework
MLX,framework
MMDetection,framework
MMSegmentation,framework
model context protocol (MCP),framework
ModelDB,framework
MONAI,framework
NeMo,framework
NeuralProphet,framework
NumPy,framework
NVIDIA NeMo,framework
NVIDIA Triton Inference Server,framework
Ollama,framework
ONNX Runtime,framework
open neural network exchange (ONNX),framework
Open Neural Network Exchange Runtime (ONNX Runtime),framework
Open3D,framework
OpenCLIP,framework
OpenCV,framework
OpenMMLab,framework
OpenVINO,framework
Optimum,framework
Optuna,framework
paddlenlp,framework
PaddleOCR,framework
PaddlePaddle,framework
Pandas,framework
Parameter-Efficient Fine-Tuning library (PEFT),framework
Petastorm,framework
pipeline,framework
Polars,framework
PostGIS,framework
pyannote.audio,framework
PyCaret,framework
PyTorch,framework
PyTorch Forecasting,framework
PyTorch Geometric,framework
PyTorch Ignite,framework
PyTorch image models (timm),framework
PyTorch Lightning,framework
PyTorch3D,framework
RAPIDS,framework
Raster Vision,framework
Rasterio,framework
Ray,framework
Ray Tune,framework
rioxarray,framework
Rust,framework
Safetensors,framework
sample-factory,framework
Scikit-learn,framework
SciPy,framework
Seaborn,framework
Sentence Transformers,framework
sentence-transformers,framework
SetFit,framework
Shapely,framework
skorch,framework
spaCy,framework
SpanMarker,framework
SpeechBrain,framework
Stable-Baselines3,framework
Stanza,framework
Streamlit,framework
TensorBoard,framework
TensorFlow,framework
TensorFlow Datasets (TFDS),framework
TensorFlow Extended (TFX),framework
TensorFlow Keras (TF-Keras),framework
TensorFlow Lite (TFLite),framework
TensorFlow Serving,framework
TensorRT,framework
text embeddings inference (TEI),framework
text generation inference (TGI),framework
TorchData,framework
TorchGeo,framework
TorchMetrics,framework
TorchScript,framework
TorchServe,framework
TorchVision,framework
Transformers,framework
Transformers.js,framework
TRL,framework
Ultralytics,framework
Unity Sentis,framework
unity-sentis,framework
univa,framework
vLLM,framework
Weights and Biases (W&B),framework
xarray,framework
XGBoost,framework
4-bit precision,method
8-bit floating point (FP8),method
8-bit precision,method
abstention,method
active learning,method
actor-critic,method
adapter tuning,method
adaptive normalization,method
adversarial learning,method
adversarial robustness,method
adversarial training,method
agent,method
agentic planning,method
alignment learning,method
anomaly detection,method
any-to-any,method
atrous spatial pyramid pooling,method
audio classification,method
audio-text-to-text,method
audio-to-audio,method
"Autoencoders, dimensionality reduction, image embeddings & similarity search",method
automatic speech recognition (ASR),method
autoregressive modeling,method
backdoor defense,method
bagging,method
barlow twins,method
batch normalization,method
bayesian learning,method
bias-term fine-tuning (BitFit),method
big bird,method
boosting,method
bootstrapping,method
catastrophic forgetting mitigation,method
causal inference,method
causal language modeling,method
chain-of-thought (CoT),method
chain-of-thought prompting,method
change detection,method
class imbalance handling,method
class-incremental learning,method
classifier-free guidance,method
co-teaching,method
co-training,method
compute-efficient learning,method
concept bottleneck model,method
conformal prediction,method
consistency regularization,method
constraint satisfaction,method
context engineering,method
context rot,method
contextualized late interaction over BERT (ColBERT),method
contextualized late interaction over PaliGemma (ColPali),method
continual domain adaptation,method
continual learning,method
continual pretraining,method
contrastive learning,method
contrastive loss,method
contrastive predictive coding,method
contrastive pretraining,method
core-set selection,method
cosine annealing,method
cost-sensitive learning,method
cross-domain transfer,method
cross-modal learning,method
cross-view learning,method
curriculum learning,method
Data fusion,method
data-efficient learning,method
debiased learning,method
deblurring,method
decision fusion,method
deep ensemble,method
deep learning,method
deepseek sparse attention (dsa),method
denoising,method
dense connection,method
dense retrieval,method
Depth Anything,method
depth estimation,method
diffusion,method
dimensionality reduction,method
disentangled representation learning,method
distillation,method
distribution alignment,method
distribution shift robustness,method
domain adaptation,method
domain adversarial training,method
domain generalization,method
domain randomization,method
domain-specific pretraining,method
dropout,method
dust3r,method
early fusion,method
early stopping,method
efficient fine-tuning,method
elastic weight consolidation,method
embedding,method
emergent ability,method
energy-based model,method
ensemble learning,method
entropy minimization,method
Explainable Ai (XAI),method
exponential moving average (EMA),method
fast rcnn,method
faster r-cnn,method
feature alignment,method
feature extraction,method
feature fusion,method
feature learning,method
feature reuse,method
feature selection,method
federated averaging,method
federated learning,method
Few & zero shot learning,method
few-shot learning,method
few-shot prompting,method
fill-mask,method
fine-tuning,method
FixMatch,method
flow matching,method
focal loss,method
foundation model adaptation,method
frozen backbone,method
function calling,method
Gated DeltaNet,method
gated deltanet (gdn),method
Gated DeltaNet-2,method
gated deltanet-2 (gdn-2),method
gaussian process,method
gaussian splatting,method
generative pretraining,method
global average pooling,method
gpt-4o,method
gradient accumulation,method
gradient checkpointing,method
gradient clipping,method
graph machine learning,method
graph neural network,method
graph-based learning,method
group normalization,method
grouped-query attention (gqa),method
hallucination,method
hard negative mining,method
hierarchical classification,method
hierarchical learning,method
image classification,method
image feature extraction,method
image restoration,method
image segmentation,method
image-text-to-image,method
image-text-to-text,method
image-text-to-video,method
image-to-3d,method
image-to-image,method
image-to-image translation,method
image-to-text,method
image-to-video,method
imitation learning,method
in-context learning,method
incremental learning,method
inpainting,method
instance normalization,method
instance segmentation,method
instruction following,method
instruction tuning,method
interpretable machine learning,method
invariant risk minimization,method
inverse reinforcement learning,method
joint embedding,method
joint embedding predictive architecture (JEPA),method
kernel method,method
key-value cache,method
keypoint detection,method
kimi delta attention (kda),method
kl divergence,method
knowledge distillation,method
knowledge graph,method
knowledge transfer,method
knowledge-enhanced learning,method
language model pretraining,method
large language model as a judge (LLM-as-a-judge),method
late fusion,method
layer normalization,method
learning rate scheduler,method
learning rate scheduling,method
learning without forgetting,method
linear probing,method
llm-as-a-judge,method
local interpretable model-agnostic explanations (LIME),method
long-tailed recognition,method
loss reweighting,method
low-rank adaptation (LoRA),method
low-resource learning,method
low-shot learning,method
manifold learning,method
mask generation,method
mask r-cnn,method
masked language modeling,method
masked modeling,method
matryoshka representation learning (MRL),method
max pooling,method
mean teacher,method
memorization analysis,method
meta-learning,method
metric learning,method
mid-training,method
