task_name,tag
Model interpretability,task
Model transfer,task
Mosaicking,task
Movement pattern detection,task
Multi image super-resolution (MISR),task
Multi-image super-resolution,task
Multi-label classification,task
Multimodal data fusion,task
Multimodal learning,task
Multimodal retrieval,task
Multisensor data fusion,task
Multispectral image classification,task
NDVI - vegetation index,task
Network analysis,task
Neural radiance fields,task
No-data gap detection,task
Normalization,task
Object counting,task
Object counting in aerial imagery,task
Object detection,task
Object detection - Animals,task
"Object detection - Buildings, rooftops & solar panels",task
"Object detection - Cars, vehicles & trains",task
Object detection - Infrastructure & utilities,task
Object detection - Miscellaneous,task
Object detection - Oil storage tank detection,task
Object detection - Planes & aircraft,task
"Object detection - Ships, boats, vessels & wake",task
Object detection enhanced by super resolution,task
Object detection robustness evaluation,task
Object detection with rotated bounding boxes,task
Object tracking,task
Object tracking in videos,task
Object-based image analysis,task
Open-vocabulary object detection,task
Open-vocabulary segmentation,task
Optical and synthetic aperture radar fusion,task
Optical to synthetic aperture radar translation,task
Oriented bounding box detection,task
Oriented object detection,task
Out-of-distribution detection,task
Panoptic segmentation,task
Pansharpening,task
Pattern detection,task
Point cloud segmentation,task
Polarimetric synthetic aperture radar image classification,task
Radiometric calibration,task
Raster-to-vector conversion,task
Regression,task
Remote sensing image captioning,task
Remote sensing image classification,task
Remote sensing visual question answering,task
Rotated object detection,task
Salient object detection,task
Sat2Info,task
Sat2Model,task
Sat2Sat,task
Scene classification,task
Scene editing / object removal,task
Scene interpolation,task
Scene prediction / possible futures,task
Scene regression / estimation,task
Scene understanding,task
Segmentation,task
Segmentation - Buildings & rooftops,task
"Segmentation - Fire, smoke & burn areas",task
Segmentation - Glaciers,task
Segmentation - Land use & land cover,task
Segmentation - Landslides,task
Segmentation - methane,task
Segmentation - Miscellaneous,task
Segmentation - Other environmental,task
Segmentation - Other manmade,task
Segmentation - Roads & sidewalks,task
Segmentation - Ships & vessels,task
Segmentation - Solar panels,task
"Segmentation - Vegetation, deforestation, crops & field boundaries",task
"Segmentation - Water, coastlines, rivers & floods",task
Self-supervised learning,task
Self-supervised representation learning,task
Semantic segmentation,task
Semi-supervised learning,task
Sensor harmonization,task
Shadow removal,task
Simultaneous localization and mapping,task
Single image super-resolution (SISR),task
Single-image super-resolution,task
Small object detection,task
Spatial clustering,task
Spatial interpolation,task
Spatial querying,task
Spatiotemporal forecasting,task
Structure from motion,task
Style transfer,task
Super-resolution,task
Super-resolution - Miscellaneous,task
Super-resolution-enhanced object detection,task
Synthetic aperture radar analysis,task
Synthetic aperture radar change detection,task
Synthetic aperture radar denoising,task
Synthetic aperture radar despeckling,task
Synthetic aperture radar image classification,task
Synthetic aperture radar image segmentation,task
Synthetic aperture radar to optical translation,task
Synthetic data generation,task
Synthetic overhead imagery generation,task
Synthetic satellite imagery generation,task
"Terrain mapping, Disparity Estimation, Lidar, DEMs & NeRF",task
Text-guided segmentation,task
Thermal infrared classification,task
Thermal to RGB translation,task
Tiling / chipping,task
Time series,task
Time series analysis,task
Time series forecasting,task
Tool-augmented geospatial agenting,task
Topology analysis,task
Trajectory prediction,task
Trend analysis,task
Unsupervised learning,task
Vector extraction,task
Vector-to-raster conversion,task
Viewshed analysis,task
Vision-language representation learning,task
Visual grounding,task
Visual question answering,task
Watershed delineation,task
Weakly supervised learning,task
Weakly supervised segmentation,task
Zero-shot classification,task
Zero-shot learning,task
Zero-shot segmentation,task
Remote sensing foundation model evaluation,source-derived
Mars science task evaluation,source-derived
Agricultural field boundary segmentation,source-derived
Crop type classification,source-derived
